long,latt,location
0.02317,52.25776,"0.02317,52.25776"
0.12838,52.1918,"0.12838,52.1918"
-0.06007,52.27688,"-0.06007,52.27688"
0.2057,52.13257,"0.2057,52.13257"
0.01393,52.2553,"0.01393,52.2553"
0.58688,52.24249,"0.58688,52.24249"
0.63181,52.44303,"0.63181,52.44303"
-0.03058,52.09435,"-0.03058,52.09435"
0.22321,52.38379,"0.22321,52.38379"
0.14172,52.17506,"0.14172,52.17506"
0.04118,52.08976,"0.04118,52.08976"
0.25804,52.22348,"0.25804,52.22348"
0.25804,52.22348,"0.25804,52.22348"
0.76681,52.41893,"0.76681,52.41893"
0.74876,52.2093,"0.74876,52.2093"
0.12332,52.22884,"0.12332,52.22884"
0.12322,52.22887,"0.12322,52.22887"
0.1415,52.18127,"0.1415,52.18127"
0.1415,52.18127,"0.1415,52.18127"
-0.07788,52.21653,"-0.07788,52.21653"
0.44637,52.0724,"0.44637,52.0724"
0.25877,52.02179,"0.25877,52.02179"
-0.01067,52.26975,"-0.01067,52.26975"
0.11069,52.21947,"0.11069,52.21947"
0.24601,52.39696,"0.24601,52.39696"
0.25054,52.01979,"0.25054,52.01979"
0.1254,52.28849,"0.1254,52.28849"
0.61278,52.20955,"0.61278,52.20955"
1.02538,52.44628,"1.02538,52.44628"
0.45307,52.0475,"0.45307,52.0475"
0.20372,52.00322,"0.20372,52.00322"
0.15306,52.38919,"0.15306,52.38919"
-0.00904,52.26906,"-0.00904,52.26906"
0.72508,52.15484,"0.72508,52.15484"
0.39766,52.26049,"0.39766,52.26049"
0.22156,52.12535,"0.22156,52.12535"
0.11938,52.21017,"0.11938,52.21017"
0.74857,52.20917,"0.74857,52.20917"
0.40796,52.24488,"0.40796,52.24488"
0.31155,52.05391,"0.31155,52.05391"
0.58264,52.2407,"0.58264,52.2407"
0.17345,52.12918,"0.17345,52.12918"
0.13974,52.2242,"0.13974,52.2242"
0.15289,52.18732,"0.15289,52.18732"
0.63224,52.16897,"0.63224,52.16897"
0.18277,52.18771,"0.18277,52.18771"
0.12174,52.28865,"0.12174,52.28865"
0.14698,51.96084,"0.14698,51.96084"
0.57482,52.29477,"0.57482,52.29477"
0.11289,52.22586,"0.11289,52.22586"
0.83183,52.23075,"0.83183,52.23075"
-0.01667,52.28913,"-0.01667,52.28913"
0.16733,52.24474,"0.16733,52.24474"
0.16527,52.18167,"0.16527,52.18167"
0.25235,52.02576,"0.25235,52.02576"
0.23834,52.02374,"0.23834,52.02374"
0.25936,52.39917,"0.25936,52.39917"
-0.10276,52.22857,"-0.10276,52.22857"
0.84086,52.29718,"0.84086,52.29718"
0.20186,52.20964,"0.20186,52.20964"
0.14493,52.14138,"0.14493,52.14138"
0.15917,52.1234,"0.15917,52.1234"
0.1415,52.18127,"0.1415,52.18127"
0.44055,52.08553,"0.44055,52.08553"
0.50915,52.3449,"0.50915,52.3449"
0.43903,52.08495,"0.43903,52.08495"
-0.00894,52.3003,"-0.00894,52.3003"
-0.03334,52.05683,"-0.03334,52.05683"
0.09102,52.19809,"0.09102,52.19809"
0.70925,52.23161,"0.70925,52.23161"
0.13268,52.19808,"0.13268,52.19808"
0.12465,52.28257,"0.12465,52.28257"
0.11421,52.21291,"0.11421,52.21291"
0.16037,52.17823,"0.16037,52.17823"
0.7081,52.26514,"0.7081,52.26514"
0.14066,52.17513,"0.14066,52.17513"
0.14066,52.17513,"0.14066,52.17513"
0.14066,52.17513,"0.14066,52.17513"
0.14469,52.21719,"0.14469,52.21719"
0.39418,52.17372,"0.39418,52.17372"
0.08385,52.13763,"0.08385,52.13763"
0.15774,52.17901,"0.15774,52.17901"
