,Incident Number,long,latt,PC Sector
370,26760669,-2.14243,53.261509999999994,SK11 8
371,26760730,-2.62651,50.95539,BA21 4
372,26760741,-,,N/A
373,26760757,0.27548,51.68053,CM15 0
374,26761016,-0.28041,51.59465,HA8 5
375,26761638,-0.42449,54.0054,YO25 5
376,26761665,-3.16914,51.469229999999996,CF10 5
377,26761729,-3.66093,55.66848,ML11 8
378,26762028,-2.02196,52.510290000000005,B69 3
379,26762084,-,,N/A
380,26762157,-2.97998,53.38864,L8 6
381,26762980,-2.91239,53.19364,CH1 4
382,26763163,-0.41134,51.64956,WD18 7
383,26763266,-3.54951,50.39714,TQ5 0
384,26763469,-1.32523,52.980990000000006,DE7 9
385,26763804,-1.19115,52.90194,NG11 8
386,26763997,-0.20862,51.98376,SG6 1
387,26764529,0.09596,51.55256,IG3 9
388,26764552,1.72619,52.496269999999996,NR32 4
389,26764640,-1.68377,53.85268000000001,LS19 6
390,26764666,-3.01633,53.8213,FY3 8
391,26765758,-2.81908,54.37614,LA8 9
392,26765856,0.06295,51.524370000000005,E6 6
393,26765905,-1.79254,52.44239,B92 8
394,26765929,-2.15575,53.62647,OL12 0
395,26766224,-1.52285,52.89025,DE23 3
396,26766437,-1.48479,53.341390000000004,S8 0
397,26766919,-0.42987,54.00374,YO25 5
398,26767001,-2.17663,53.55543,M24 2
399,26767146,-0.89814,53.08119,NG23 5
400,26768123,-2.5532,51.461000000000006,BS5 9
401,26768236,-2.02066,52.56395,WS10 9
402,26768321,-2.19272,53.44303000000001,M19 2
403,26768503,0.53935,51.24968,ME15 9
404,26769164,-1.44895,53.818740000000005,LS14 5
405,26770119,-2.66385,53.72271,PR5 6
406,26770359,-1.58406,51.76747,OX18 1
407,26770446,-1.96177,52.41649,B31 2
408,26770569,-0.24902,51.366279999999996,KT19 0
409,26770573,-2.24503,53.37551,M22 5
410,26770734,-3.05474,53.372609999999995,CH43 0
411,26771101,-4.14797,50.412009999999995,PL5 3
412,26771114,-0.11566,51.372609999999995,CR0 4
413,26771292,-2.74563,54.3164,LA9 5
414,26771772,-3.79673,56.118269999999995,FK10 2
415,26772352,1.16441,52.05072,IP3 0
416,26772383,-2.4229,52.3546,DY14 9
417,26772573,0.22146,51.61141,RM3 9
418,26772601,-4.22133,55.97846,G66 7
419,26772612,-2.34661,53.48044,M30 0
420,26772708,-2.86439,53.523669999999996,L39 0
421,26772718,-4.27299,55.87313,G20 6
422,26772757,-1.26648,51.77851,OX2 7
423,26772967,-2.73668,54.3434,LA9 6
